# Constructed from biom file
#OTU ID	BI0023	BI0056	BI0131	BI0153	BI0215	BI0353	BI0371	BI0372	BI0380	BI0389	BI0395	BI0397	BI0404	BI0409	BI0410	BI0411	BI0415	BI0425	BI0426	BI0427	BI0428	BI0430	BI0441	BI0444	BI0445	BI0448	BI0450	BI0452	BI0464	BI0466	BI0467	BI0478	BI0508	BI0519	BI0532	BI0539	BI0552	BI0580	BI0594	BI0613	BI0682	BI0686	BI0700	BI0704	BI0711	BI0717	BI0730	BI0739	BI0749	BI0751	BI0757	BI0764	BI0778	BI0786	BI0789	BI0798	BI0801	BI0802	BI0804	BI0816	BI0821	BI0828	BI0840	BI0855	BI0887	BI0889	BI0898	BI0904	BI0910	BI0924	BI0929	BI0931	BI0939	BI0940	BI0948	MN1501	MN1521	MN1524	MN1550	MN1573	MN1590	MN1607	MN1617	MN1618	MN1619	MN1627	MN1646	MN1690	MN1696	MN1760	MN1789	MN1807	MN1809	MN1810	MN1817	MN1818	MN1821	MN1825	MN1831	MN1835	MN1836	MN1837	MN1861	MN1868	MN1877	MN1887	MN1894	MN1897	MN1900	MN1959	MN1960	MN2006	MN2020	MN2029	MN2030	MN2037	MN2078	MN2099	MN2101	MN2131	MN2137	MN2141	MN2144	MN2150	MN2151	MN2152	MN2165	MN2181	MN2194	MN2195	MN2203	MN2213	MN2224	MN2232	MN2241	MN2249	MN2250	MN2253	MN2301	MN2304	MN2311	MN2314	MN2319	MN2326	MN2328	MN2329	MN2344	MN2352	MN2358	MN2362	MN2373	MN2378	MN2392	MN2398	MN2405	MN2409	MN2410	MN2413	MN2421	MN2432	MN2439	MN2452	MN2468	MN2475	MN2489	MN2498	PA3024	PA3070	PA3079	PA3081	PA3084	PA3107	PA3131	PA3199	PA3291	PA3339	PA3394	PA3406	PA3444	PA3446	PA3450	PA3457	PA3462	PA3467	PA3468	PA3472	PA3479	PA3486	PA3489	PA3492	PA3495	PA3535	PA3542	PA3548	PA3551	PA3553	PA3594	PA3606	PA3640	PA3645	PA3650	PA3651	PA3673	PA3687	PA3702	PA3707	PA3712	PA3720	PA3743	PA3747	PA3748	PA3750	PA3754	PA3768	PA3771	PA3779	PA3783	PA3798	PA3814	PA3824	PA3828	PA3829	PA3839	PA3842	PA3844	PA3846	PA3853	PA3854	PA3858	PA3863	PA3864	PA3880	PA3885	PA3890	PA3893	PA3898	PA3902	PA3904	PA3907	PA3909	PA3911	PA3940	PA3949	PA3950	PA3952	PA3953	PA3960	PA3963	PA3975	PA3977	PA3980	PA3993	PI4519	PI4533	PI4544	PI4564	PI4572	PI4606	PI4621	PI4625	PI4641	PI4644	PI4672	PI4696	PI4711	PI4717	PI4718	PI4741	PI4748	PI4756	PI4766	PI4784	PI4798	PI4801	PI4804	PI4818	PI4820	PI4831	PI4847	PI4848	PI4850	PI4856	PI4871	PI4899	PI4907	PI4917	PI4923	PI4930	PI4944	PI4946	PI4951	PI4966	PI4984	PI4995	PI4998	PI5011	PI5016	PI5022	PI5034	PI5037	PI5048	PI5072	PI5073	PI5092	PI5093	PI5097	PI5100	PI5102	PI5103	PI5109	PI5111	PI5148	PI5160	PI5164	PI5173	PI5180	PI5187	PI5197	PI5206	PI5216	PI5219	PI5239	PI5245	PI5263	PI5264	PI5279	PI5288	PI5293	PI5308	PI5340	PI5343	PI5352	PI5359	PI5374	PI5392	PI5406	PI5411	PI5415	PI5440	PI5451	PI5452	PI5457	PI5472	PI5491	PO6836	PO6846	PO6848	PO6894	PO6916	PO6920	PO6926	PO6943	PO6944	PO6950	PO6953	PO6961	PO6966	PO6973	PO6975	PO6987	PO6988	PO6989	PO6994	PO6996	PO6998	PO7002	PO7010	PO7016	PO7020	PO7023	PO7026	PO7027	PO7029	PO7033	PO7035	PO7036	PO7052	PO7057	PO7072	PO7080	PO7082	PO7090	PO7112	PO7129	PO7130	PO7132	PO7136	PO7138	PO7140	PO7141	PO7146	PO7147	PO7150	PO7151	PO7152	PO7156	PO7157	PO7174	PO7175	PO7178	PO7179	PO7182	PO7188	PO7189	PO7190	PO7193	PO7199	PO7200	PO7202	PO7209	PO7213	PO7216	PO7226	PO7227	PO7230	PO7250	PO7261	PO7287	PO7307	PO7310	PO7313	PO7318	PO7327	PO7335	PO7343	PO7345	PO7351	PO7355	PO7360	PO7372	PO7373	PO7375	PO7382	PO7386	PO7389	PO7404	PO7406	PO7410	PO7412	PO7413	PO7416	PO7420	PO7427	PO7432	PO7442	PO7448	PO7456	PO7463	PO7465	PO7473	PO7476	PO7482	PO7486	PO7488	PO7490	PO7493	PO7494	PO7499	PO7500	PO7501	PO7503	PO7509	PO7510	PO7514	PO7518	SD8047	SD8066	SD8072	SD8074	SD8077	SD8083	SD8088	SD8096	SD8100	SD8104	SD8112	SD8118	SD8139	SD8145	SD8146	SD8148	SD8152	SD8155	SD8166	SD8171	SD8175	SD8181	SD8188	SD8197	SD8206	SD8209	SD8216	SD8220	SD8229	SD8250	SD8256	SD8268	SD8276	SD8284	SD8285	SD8291	SD8293	SD8297	SD8322	SD8331	SD8337	SD8352	SD8354	SD8358	SD8361	SD8368	SD8372	SD8388	SD8398	SD8423	SD8427	SD8458	SD8462	SD8476	SD8482	SD8486	SD8495	SD8496	SD8505	SD8519	SD8530	SD8537	SD8564	SD8567	SD8586	SD8603	SD8609	SD8610	SD8612	SD8622	SD8628	SD8629	SD8630	SD8631	SD8637	SD8650	SD8658	SD8664	SD8671	SD8675	SD8691	SD8697	SD8706	SD8710	SD8714	SD8722	SD8746	SD8749	SD8755	SD8757	SD8764	SD8768	SD8769	SD8779	SD8780	SD8781	SD8786	SD8791	SD8792	SD8794	SD8795	SD8796	SD8801	SD8810	SD8819	SD8821	SD8834	SD8837	SD8841	SD8844	SD8857	SD8863	SD8873	SD8875	SD8876	SD8894	SD8904	SD8905	SD8909	SD8918	SD8927	SD8934	SD8942	SD8954	SD8964	SD8966	SD8972	SD8973	SD8985	SD8996	SD8999	SD9001	SD9003	SD9009
Unassigned;Other;Other;Other;Other;Other	0.00299015548809	0.0	9.61261174661e-05	0.0	0.0	0.0	0.000276518084283	0.00083811488621	0.0	0.0	0.0	0.0	0.0	0.000376591097386	0.0	0.0	0.0	0.0	0.0	0.0	0.0163519005498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000145588663496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167190530328	0.000144682903304	0.0	0.00939745715865	0.0	0.000998269665912	0.0	0.0	0.0	0.0	0.000376607306182	0.0	0.0	0.0	0.0013986013986	0.000294880868129	0.0	0.0	0.0	0.000230826937504	0.0	0.00364602323038	0.000324083451489	0.0	0.0	0.0	0.0	0.0	0.00076185639007	0.0	0.0	0.00182267168391	0.0	0.0	0.000761403751644	0.00241278121943	0.00135785705468	7.11473699189e-05	0.0	0.0	0.0	0.0	0.0	0.000205905365894	0.0	0.00230220244033	0.0	0.00050641458474	0.0	0.0	0.000965689615996	0.0	0.0	0.0	0.000124859533025	0.0	0.00065703022339	0.0	0.0	0.00361419786385	0.0	0.0	0.0	0.0	0.0	0.0	0.00134026698118	0.000172205958326	0.0	0.0	0.00437412750116	0.000257422344259	0.0	0.0	0.000262846628992	0.0	0.0	0.00424617038431	0.0	0.00082671957672	0.000209008255826	0.0	0.0	0.000175438596491	0.000158052789632	0.0173573443263	0.0	0.0	0.0	0.00115733299042	0.0	0.0	0.0	0.000402657539762	0.0	0.00314762354422	0.0	0.000350017500875	0.0	0.0	0.00439429284436	0.0	0.0	0.0	0.0	0.000911283838113	0.0	0.0	0.0	0.000791765637371	0.000936666906838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000109271704092	0.0	0.000260348867482	0.0	0.00010218331687	0.0	0.0	0.0	0.00305540866091	0.0	0.0	0.0	0.0	0.000959692898273	0.0	0.00934232506342	0.000446827524576	0.0	0.0	0.00111565637784	0.0	0.0	0.0	0.0	0.00040404040404	0.0	0.0	0.0	0.0	0.00444995212077	0.0	0.000576169624337	0.0	0.00023269884116	0.0	0.00118316941507	0.0	0.0	0.000112201963534	0.0	0.0	0.000632537741419	0.0	0.0	0.00254148602183	0.000101667344449	0.0	9.64645733854e-05	0.0	0.00030971258672	0.000322893122376	0.0	0.00182575455012	0.0	0.0	0.000547735115298	0.0	0.0	0.000705882352941	0.000916208562385	0.0	0.000200106723586	0.0	0.0	0.0	0.0	0.00186293327312	0.0	0.0	0.0	0.000822755054067	0.0	0.0	0.000112860448056	0.0	0.0	0.0	0.0	0.000769959725184	0.0	0.0	0.0	0.0	0.0	0.0	0.00224758975572	0.0	0.0	0.0	0.0	0.0	0.000175459118026	0.0	0.0	0.0	0.0	0.0	0.00566137566138	0.00012342631449	0.0	0.0	0.0	0.000168067226891	0.0	0.0	0.0	0.0	0.00203302119271	0.0	0.00177406432414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.73141300117e-05	0.0	0.0	0.0	0.0	0.0	0.000944911650761	0.0	0.0	0.00300728078506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021433929911	0.000502709043177	0.000462556084925	0.0	0.0	0.0	0.000272895972055	0.0	0.0	0.00100538174936	0.000782254009052	0.000106632544253	0.0	0.0001093254619	0.0	0.00603828529827	0.0	0.0	0.000320292839167	0.0	0.00076111775579	0.0	0.0	0.0	0.000116387337058	0.0	8.05542129853e-05	0.0	0.0	0.0	0.0	0.00022143489814	0.0	0.0	0.000165562913907	0.0	0.0	0.0	0.000717017208413	0.0	0.0	0.00098875293536	0.0	0.000619693871228	0.0	0.0	0.0	0.0	0.000501815390973	0.0	0.0	0.0016637149144	0.00320529127448	0.0	8.4127874369e-05	0.0	0.000296662546354	0.0	0.00103025702201	0.0	0.0	0.000169405387091	0.0	0.0	0.0	0.0	0.0	0.000164277793749	0.0	0.0	0.0	0.0	0.0	0.000287521564117	0.0	0.00654464190699	0.000226210224702	0.0160200250313	0.00215599239062	0.000201318637073	0.0	0.0	0.0	0.0	0.0	0.0	0.0048111618956	0.0	0.000147739584359	0.0	0.00036086194453	0.00233163431298	0.0	0.0	0.0	9.99650122457e-05	0.0	0.0	0.00145474137931	8.45058520303e-05	0.0	0.0022040996253	0.0	0.00544388609715	0.0	9.87995850417e-05	0.0157777226495	0.0	0.0	0.0	0.00158738847228	0.0	0.0	0.00185067939415	0.00074256011881	0.0	0.000409137401977	0.0	0.0	0.0	0.000253807106599	0.0	0.00116036203295	0.0	0.00033283408221	0.00910527503951	9.82125319191e-05	0.0	0.000138792505205	0.0	0.0	0.0	0.0	0.000318184228668	0.0	0.0	0.000130992926382	0.000106490602204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017991274232	0.0	0.0	0.0	0.0	0.000678294573643	0.00049997727376	0.0	0.0	0.0181046148103	0.0	0.00127784876938	0.0	0.0	0.0	0.0	0.0	0.0	0.000116767865483	0.000859758256208	0.0	0.00558555203873	0.0	0.0	0.0	0.0	9.50660709193e-05	0.0	0.0	0.0	0.0	0.0	0.003269183321	0.0	0.0	0.0	0.0	0.0	0.00307840888513	0.000506292492406	0.0	0.0	0.0	0.0	0.0	0.000144477353175	0.00353311492259	0.00719729043184	0.001873160289	0.0	0.00146020929667	0.000485268630849	0.0	0.0	0.0	0.0	0.0	0.000199352105657	0.00113943882638	0.000284123195818	0.000170125893161	0.0	0.000172731460157	0.0	0.0	0.00024448682216	0.00029666988059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000133226751932	0.0	0.00192705731211	0.0	0.0	0.0	0.000111104938615	0.0	0.0	0.0	0.0	0.0	0.0	0.000173626182828	0.0	0.0	0.0	0.010512765501	0.0	0.0	0.000112688753662	0.00118615167915	0.0	0.0	0.0	0.0	0.0	0.000164406083025	0.0	0.0	0.000268889486421	0.0	0.0	0.0	0.0	0.00104004160166	0.0	0.0	0.000634276290752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00599730458221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028333962977	8.75196919307e-05	0.000154004106776	0.0	0.0	0.0	0.000269450993601	0.0	0.0001584534939	0.0	0.0	0.00138131588513	0.0	0.0	0.0	0.0	0.00357142857143	0.0	0.0	0.000346040717458	0.00404538727183	0.0	0.0	0.00166008357662	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.000276014352746	0.00010055304173	9.61261174661e-05	0.0	0.0	0.0	0.000331821701139	0.0	0.000159650896706	0.0	0.0	0.0	0.000670344969834	0.0	0.0	0.0	0.000467890981401	0.0	0.0	0.0	0.000191250298829	0.000259504346698	0.0	0.0	0.0	0.0	0.000116319646388	0.000252461499621	0.0	0.0	9.70591089974e-05	0.00247792108774	0.0	0.0	0.0	0.0	0.00464859754176	0.00025032542305	0.0	0.000334381060657	0.000578731613214	0.0	0.00497512437811	0.0	0.000532410488487	0.0	0.0	0.000237149463449	0.0	0.00952278474202	0.0	0.0	9.24428010169e-05	0.0	0.000235904694503	0.0	0.0	0.0	0.0	0.000178454583309	0.000781290692224	0.0	0.0	0.0	0.0	0.0	0.0	0.000190464097518	0.0	0.0	0.0141110065851	0.000239142911804	0.0	0.000830622274521	0.000521682425823	0.0	0.000213442109757	0.0	0.0	0.00115137559084	0.0	0.0	0.0	0.0	0.00283938300975	0.000272907143344	0.0	0.0	0.0	0.000340831629175	0.003003003003	0.000413393964448	0.0	0.0	0.0	0.0744465783888	0.000415598808617	0.000229663313582	0.000485489265293	0.0	0.000246147787131	0.000116468669928	0.000247806908857	0.0	0.000349304302265	0.039457459926	0.000861029791631	0.0	0.0	0.000791065611913	0.0	0.00144163849672	0.000208899101734	8.76155429973e-05	0.0	0.0	0.000214995968826	0.0	0.0	0.0	0.0	0.000586579070859	0.0	0.0	0.00209734577276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227501509966	0.000343023754395	0.000854354962004	0.000119246362986	0.00889044452223	0.000241507003703	0.0	0.0	0.0	0.0	0.000246075102121	0.0	0.0	0.000348027842227	0.0	0.000487537327077	0.0129057798892	0.000216153901578	0.000127129417747	0.0	0.0	0.0	0.000880639479745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000212554910018	0.0	0.0	0.0	0.0	0.000293789294318	0.0	0.0	0.00482287420336	0.0	0.000305356831269	0.0	0.00037121821444	0.000167560321716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00557575757576	0.000303471716436	0.0004375	0.000222531293463	0.0	0.00050695657072	0.0	0.000288084812169	0.0189047619048	0.000558477218783	0.0	0.000147896176884	8.11820100666e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000590562806354	0.0	0.0	0.000211342021839	0.00053055515362	0.0	0.000123885034688	0.0	0.0	0.074114223769	0.0	0.0	0.0	0.0	0.0	0.000117647058824	0.0	0.0	0.0	0.000141843971631	0.0	0.0	0.0	0.000169357570283	0.0	0.0	0.0	0.000235072872591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029613835584	0.0	0.0	0.000158621054301	0.0	0.000243724104314	0.0	0.000295735494174	0.0	0.0	0.0	0.000120048019208	0.00225790265931	0.0	0.0	0.0	0.0	0.0	0.0	0.000687830687831	0.0	0.0	0.0	0.0	0.000112044817927	0.0	0.134808157622	0.0	0.000456323337679	0.0	0.0	0.000515050932814	0.0	0.0	0.0	0.0	0.0	0.0	0.000203066301147	0.0	0.0	0.000778513040093	0.0	0.0	0.0	0.00013777900248	0.0	0.000283473495228	0.0	0.000703399765533	0.000263796560093	0.0	0.0	0.000284284739595	0.000161733786188	0.0	0.0	0.0	0.000107880683964	0.0	0.000335139362118	0.000647578518895	0.000180440274269	0.0	0.000117048048224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001093254619	0.000313152400835	0.00017129887371	0.0	0.000110448420588	0.000732097918097	0.0	0.000271827769925	0.0	0.000119331742243	0.0	0.0	0.0	0.0	0.000343218012081	0.000822922121643	0.0	0.00015030813167	0.0	0.0	0.0	0.0	0.000347053515652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000123938774246	0.000486787204451	0.00139368599649	0.000137912012136	0.0	0.000177111314461	0.000266329316199	0.0	0.000697686899587	0.00020351055711	0.000272851296044	0.000252383623107	0.0	9.88875154512e-05	0.000127673156719	0.0179752738315	0.0	0.0	0.0	0.00110394021739	0.0	0.00154914529915	0.0	0.0065977567627	0.0	0.0	0.0	0.0	0.0	0.0	0.00237205290397	0.0	0.000212833883154	0.0	0.000563204005006	0.0	0.000201318637073	0.0	0.0	0.0	0.000305026842362	0.0	0.0	0.000914120760164	0.0	0.000640204865557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000431034482759	0.00169011704061	0.000137334340452	0.000165307471898	0.0	0.000418760469012	0.000489141068284	0.000197599170083	0.000198461920119	0.0	0.0	0.0	0.0	0.0	0.0	0.000487020893196	0.000456960073114	0.000307192697591	0.00054551653597	0.0	0.0	0.0	0.0	0.0	0.000232072406591	0.000148772625837	0.000166417041105	0.000602001655505	0.000638381457474	0.000673672864457	0.000277585010409	0.000126454223571	0.0	0.0	0.0	0.0	0.000111476506326	0.0	0.000196489389573	0.0	0.000593471810089	0.0	0.00223383818076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000227262397164	0.00120621199176	0.0	0.0	0.0187843906141	0.0	0.0	0.000180886343081	0.0	0.000298611456726	0.0	0.0	0.000116767865483	0.000252870075355	0.0607503025413	0.000248246757277	0.000111451657843	0.000530616576462	0.0	0.000254194204372	0.0	0.0	0.0	0.0	0.00030039050766	0.0	0.000555144337528	0.0	0.000122144863808	0.0	0.000885396491616	0.0	0.0	0.00188051497179	0.0	0.0	0.0	0.0	0.0	0.0	0.000513907625104	0.000635055038103	0.0	0.0	0.000243368216111	0.0	0.0	0.0	0.000460617227084	0.0	0.00438668640676	0.0	0.000142429853297	0.0	0.0	0.0	0.00149700598802	0.0	0.0	0.0	0.0	0.000244180367898	0.0	0.000108078897595	0.0	0.0	0.0	0.0	0.0	0.0	0.000222044586553	0.000239969283932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012027904739	0.0	0.0	0.0	0.0	0.0	0.000190876121397	0.0	8.58184938854e-05	0.0	0.0003465003465	0.0	0.000148268959893	0.0	0.0	0.0	0.0	0.0	0.00937114673243	0.0	0.000556544968833	0.000322667383705	0.0	0.0	0.000398446060365	0.00139490858367	0.00289725874749	0.0	0.0	0.000253710516301	0.0	0.0	0.0	0.020255026974	0.0	0.0	0.0	0.000134770889488	0.0	0.0	0.0	0.000724255991572	0.0	0.0227411167513	0.0	0.0	0.000306318921757	0.00102669404517	0.0	0.000278753414729	0.0	0.0	0.000181785129976	0.0	0.0	0.000218277066356	0.000218102508179	0.0	0.000225136488996	0.0	0.0	0.0	0.0	0.0	0.000230693811639	0.000493339911199	0.0	0.0	0.0	0.0	0.00012025012025	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000360954983757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000177862097587	0.0	0.0	0.0	0.0	0.0	0.0	0.000176928520878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000276874091507	0.000260841212912	0.0	0.000260873689703	0.0	0.0	0.0	0.0	0.0	8.23621463575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000819000819001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000289289072105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224830253159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000174013921114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000287075845438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.44927617867e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00846871759419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000120293516179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000106632544253	0.0	0.0	0.000521920668058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015030813167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000181785129976	0.0	0.0	0.0	0.0	0.0	0.00010733644609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.84930562395e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000169011704061	0.0	0.000110204981265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000202101859337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000189741319335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000291919663709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000121190086651	0.0	0.0	0.000436554132712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
